How	How	c-crq	How	how	0
homes	homes	n2-an	homes	home	0
they	they	pns32	they	they	0
make	make	vvi	make	make	0
great	great	j	great	great	0
drinking	drinking	vvg	drinking	drink	0
cups	cups	n2	cups	cup	0
.	.	.	.	.	1
They	They	pns32	They	they	0
have	have	vhb	have	have	0
Falcons	Falcons	n2	Falcons	falcon	0
,	,	,	,	,	0
Girfalcons	Girfalcons	n2	Girfalcons	girfalcon	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
haukes	haukes	n2	hawks	hawk	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
plenty	plenty	n1	plenty	plenty	0
:	:	:	:	:	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
cary	cary	vvb	carry	carry	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
right	right	j-jn	right	right	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
8c	8c	av	8c	8c	0
they	they	pns32	they	they	0
put	put	vvd	put	put	0
alwaies	alwaies	av	always	always	0
about	about	p-acp	about	about	0
their	their	po32	their	their	0
Falcons	Falcons	ng1	Falcons	falcon	0
necks	necks	n2	necks	neck	0
a	a	dt	a	a	0
string	string	n1	string	string	0
of	of	pp-f	of	of	0
leather	leather	n1	leather	leather	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hangeth	hangeth	vvz	hangs	hang	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
ye	ye	pn22	you	you	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
gorges	gorges	vvz	gorges	gorge	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
string	string	n1	string	string	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
cast	cast	vvd	cast	cast	0
them	them	pno32	them	they	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
fist	fist	n1	fist	fist	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
game	game	n1	game	game	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
left	left	j	left	left	0
hand	hand	n1	hand	hand	0
they	they	pns32	they	they	0
bow	bow	vvb	bow	bow	0
downe	downe	a-acp	down	down	0
the	the	dt	the	the	0
heads	heads	n2	heads	head	0
&	&	cc	&	and	0
breasts	breasts	n2	breasts	breast	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
haukes	haukes	n2	hawks	hawk	0
,	,	,	,	,	0
least	least	cs	lest	lest	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
tossed	tossed	vvn	tossed	toss	0
up	up	a-acp	up	up	0
&	&	cc	&	and	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
&	&	cc	&	and	0
beaten	beaten	vvn	beaten	beat	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
wind	wind	n1	wind	wind	0
,	,	,	,	,	0
or	or	cc	or	or	0
least	least	cs	lest	lest	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
soare	soare	vvi	soar	soar	0
too	too	av	too	too	0
high	high	j	high	high	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
they	they	pns32	they	they	0
get	get	vvb	get	get	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
victuals	victuals	n2	victuals	victual	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
hunting	hunting	vvg	hunting	hunt	0
8c	8c	n1	8c	8c	0
hauking	hauking	vvg	hawking	hawk	0
.	.	.	.	.	1
Concerning	Concerning	vvg	Concerning	concern	0
their	their	po32	their	their	0
garments	garments	n2	garments	garment	0
and	and	cc	and	and	0
attire	attire	n1	attire	attire	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
knowen	knowen	vvn	known	know	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
that	that	cst	that	that	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Cataya	Cataya	np1	Cataya	Cataya	0
8c	8c	av	8c	8c	0
other	other	j-jn	other	other	0
regions	regions	n2	regions	region	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
East	East	n1	East	east	0
,	,	,	,	,	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
also	also	av	also	also	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
countries	countries	n2	countries	country	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
South	South	n1	South	south	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
brought	brought	vvn	brought	bring	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
stuffes	stuffes	n2	stuffs	stuff	0
of	of	pp-f	of	of	0
silke	silke	n1	silk	silk	0
,	,	,	,	,	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
8c	8c	j	8c	8c	0
cotton	cotton	n1	cotton	cotton	0
cloth	cloth	n1	cloth	cloth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
weare	weare	vvb	wear	wear	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
summer	summer	n1	summer	summer	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Moxel	Moxel	np1	Moxel	Moxel	0
,	,	,	,	,	0
Bulgaria	Bulgaria	np1	Bulgaria	Bulgaria	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
,	,	,	,	,	0
8c	8c	av	8c	8c	0
Pascatir	Pascatir	vvb	Pascatir	pascatir	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
Hungaria	Hungaria	np1	Hungaria	Hungaria	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Kersis	Kersis	np1	Kersis	Kersis	0
(	(	(	(	(	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
Northerne	Northerne	j	Northern	northern	0
regions	regions	n2	regions	region	0
8c	8c	av	8c	8c	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
woods	woods	n2	woods	wood	0
)	)	)	)	)	0
8c	8c	av	8c	8c	0
also	also	av	also	also	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
countries	countries	n2	countries	country	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
subject	subject	j-jn	subject	subject	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
bring	bring	vvb	bring	bring	0
them	them	pno32	them	they	0
rich	rich	j	rich	rich	0
and	and	cc	and	and	0
costly	costly	j	costly	costly	0
skins	skins	n2	skins	skin	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
sortes	sortes	n2	sorts	sort	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
never	never	av-x	never	never	0
saw	saw	vvd	saw	see	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
242	242	crd	242	242	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1253-countries	1253-countries	n2	1253-countries	1253-country	0
)	)	)	)	)	0
wherewithal	wherewithal	c-crq	wherewithal	wherewithal	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
clad	clad	vvn	clad	clad	0
in	in	p-acp	in	in	0
winter	winter	n1	winter	winter	0
.	.	.	.	.	1
And	And	cc	And	and	0
alwaies	alwaies	av	always	always	0
against	against	p-acp	against	against	0
winter	winter	n1	winter	winter	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
themselves	themselves	px32	themselves	themselves	0
two	two	crd	two	two	0
gownes	gownes	n2	gowns	gown	0
,	,	,	,	,	0
one	one	pi	one	one	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
fur	fur	n1	fur	fur	0
inward	inward	j	inward	inward	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
skin	skin	n1	skin	skin	0
,	,	,	,	,	0
&	&	cc	&	and	0
another	another	j-jn	another	another	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
furre	furre	n1	fur	fur	0
outward	outward	j	outward	outward	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
defend	defend	vvi	defend	defend	0
them	them	pno32	them	they	0
from	from	p-acp	from	from	0
wind	wind	n1	wind	wind	0
&	&	cc	&	and	0
snow	snow	n1	snow	snow	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
are	are	vbr	are	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
woolves	woolves	n2	wolves	wolf	0
skins	skins	n2	skins	skin	0
,	,	,	,	,	0
or	or	cc	or	or	0
Fox	Fox	n1	Fox	fox	0
skins	skins	n2	skins	skin	0
,	,	,	,	,	0
or	or	cc	or	or	0
els	els	av	else	else	0
of	of	pp-f	of	of	0
Papions	Papions	n2	Papions	papion	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
sit	sit	vvb	fit	sit	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
house	house	n1	house	house	0
,	,	,	,	,	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
finer	finer	jc	finer	fine	0
gowne	gowne	n1	gown	gown	0
to	to	pc-acp	to	to	0
weare	weare	vvi	wear	wear	0
.	.	.	.	.	1
The	The	dt	The	the	0
poorer	poorer	jc	poorer	poor	0
sort	sort	n1	sort	sort	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
upper	upper	j	upper	upper	0
gowne	gowne	n1	gown	gown	0
of	of	pp-f	of	of	0
dogs	dogs	n2	dogs	dog	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
goats	goats	ng2	goats	goat	0
skins	skins	n2	skins	skin	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
they	they	pns32	they	they	0
goe	goe	vvb	go	go	0
to	to	pc-acp	to	to	0
hunt	hunt	vvi	hunt	hunt	0
for	for	p-acp	for	for	0
wild	wild	j	wild	wild	0
beasts	beasts	n2	beasts	beast	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
meets	meets	vvz	meets	meet	0
a	a	dt	a	a	0
great	great	j	great	great	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
together	together	av	together	together	0
,	,	,	,	,	0
&	&	cc	&	and	0
in-vironing	in-vironing	j	environing	environing	0
the	the	dt	the	the	0
place	place	n1	place	place	0
round	round	av-j	round	round	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
sure	sure	j	sure	sure	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
some	some	d	some	some	0
game	game	n1	game	game	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
litle	litle	j	little	little	0
&	&	cc	&	and	0
litle	litle	j	little	little	0
they	they	pns32	they	they	0
approch	approch	vvb	approach	approach	0
on	on	p-acp	on	on	0
al	al	d	all	all	0
sides	sides	n2	sides	side	0
,	,	,	,	,	0
til	til	c-acp	till	till	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
gotten	gotten	vvn	got	get	0
the	the	dt	the	the	0
wild	wild	j	wild	wild	0
beasts	beasts	n2	beasts	beast	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
into	into	p-acp	into	into	0
a	a	dt	a	a	0
circle	circle	n1	circle	circle	0
,	,	,	,	,	0
&	&	cc	&	and	0
then	then	av	then	then	0
they	they	pns32	they	they	0
discharge	discharge	vvb	discharge	discharge	0
their	their	po32	their	their	0
arrowes	arrowes	n2	arrows	arrow	0
at	at	p-acp	at	at	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
themselves	themselves	px32	themselves	themselves	0
breeches	breeches	n2	breeches	breech	0
of	of	pp-f	of	of	0
skins	skins	n2	skins	skin	0
.	.	.	.	.	1
The	The	dt	The	the	0
rich	rich	j	rich	rich	0
Tartars	Tartars	np2	Tartars	Tartar	0
somtimes	somtimes	av	sometimes	sometime	0
fur	fur	vvb	fur	fur	0
their	their	po32	their	their	0
gowns	gowns	n2	gowns	gown	0
with	with	p-acp	with	with	0
pelluce	pelluce	n1	pelluce	pelluce	0
or	or	cc	or	or	0
silke	silke	n1	silk	silk	0
shag	shag	j	shag	shag	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
exceeding	exceeding	av-vvg	exceeding	exceed	0
soft	soft	j	soft	soft	0
,	,	,	,	,	0
light	light	j	light	light	0
,	,	,	,	,	0
&	&	cc	&	and	0
warme	warme	j	warm	warm	0
.	.	.	.	.	1
The	The	dt	The	the	0
poorer	poorer	jc	poorer	poor	0
sort	sort	n1	sort	sort	0
do	do	vdb	do	do	0
line	line	vvi	line	line	0
their	their	po32	their	their	0
clothes	clothes	n2	clothes	clothes	0
with	with	p-acp	with	with	0
cotton	cotton	n1	cotton	cotton	0
cloth	cloth	n1	cloth	cloth	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
finest	finest	js	finest	fine	0
wooll	wooll	n1	wool	wool	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
pick	pick	vvi	pick	pick	0
out	out	av	out	out	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
courser	courser	n1	courser	courser	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
wool	wool	n1	wool	wool	0
,	,	,	,	,	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
felt	felt	vvd	felt	feel	0
to	to	pc-acp	to	to	0
cover	cover	vvi	cover	cover	0
their	their	po32	their	their	0
houses	houses	n2	houses	house	0
and	and	cc	and	and	0
their	their	po32	their	their	0
chests	chests	n2	chests	chest	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
bedding	bedding	vvg	bedding	bed	0
also	also	av	also	also	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
wool	wool	n1	wool	wool	0
,	,	,	,	,	0
being	being	vbg	being	be	0
mixed	mixed	vvn	mixed	mix	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
third	third	ord	third	three	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
horse	horse	n1	horse	horse	0
haire	haire	n1	hair	hair	0
,	,	,	,	,	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
all	all	d	all	all	0
their	their	po32	their	their	0
cordage	cordage	n1	cordage	cordage	0
.	.	.	.	.	1
They	They	pns32	They	they	0
make	make	vvb	make	make	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
felt	felt	vvd	felt	feel	0
coverings	coverings	n2-vvg	coverings	cover	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
stooles	stooles	n2	stools	stool	0
,	,	,	,	,	0
and	and	cc	and	and	0
caps	caps	n2	caps	cap	0
to	to	pc-acp	to	to	0
defende	defende	vvi	defend	defend	0
Great	Great	j	Great	great	0
expense	expense	n1	expense	expense	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
weather	weather	n1	weather	weather	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
all	all	d	all	all	0
which	which	r-crq	which	which	0
purposes	purposes	vvz	purposes	purpose	0
efwmU-they	efwmU-they	j	efwmU-they	efwmu-they	0
spend	spend	vvi	spend	spend	0
a	a	dt	a	a	0
great	great	j	great	great	0
quantity	quantity	n1	quantity	quantity	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
wooll	wooll	n1	wool	wool	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
much	much	av-d	much	much	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
attyre	attyre	n1	attire	attire	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
men	men	n2	men	man	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
fashion	fashion	n1	fashion	fashion	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
use	use	vvb	use	use	0
in	in	p-acp	in	in	0
cutting	cutting	vvg	cutting	cut	0
their	their	po32	their	their	0
haire	haire	n1	hair	hair	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
attire	attire	n1	attire	attire	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
women	women	n2	women	woman	0
.	.	.	.	.	1
Chap.	Chap.	np1	Chap.	Chap.	0
8.	8.	crd	8.	8.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THe	THe	dt	THe	the	0
men	men	n2	men	man	0
shave	shave	vvb	shave	shave	0
a	a	dt	a	a	0
plot	plot	n1	plot	plot	0
foure	foure	crd	foure	four	0
square	square	n-jn	square	square	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
crownes	crownes	n2	crowns	crown	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
two	two	crd	two	two	0
formost	formost	js	foremost	foremost	0
corners	corners	n2	corners	corner	0
they	they	pns32	they	they	0
shave	shave	vvb	shave	shave	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
two	two	crd	two	two	0
seames	seames	n2	seams	seam	0
downe	downe	a-acp	down	down	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
temples	temples	n2	temples	temple	0
:	:	:	:	:	0
they	they	pns32	they	they	0
shave	shave	vvb	shave	shave	0
also	also	av	also	also	0
their	their	po32	their	their	0
temples	temples	n2	temples	temple	0
and	and	cc	and	and	0
the	the	dt	the	the	0
hinder	hinder	jc	hinder	hinder	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
head	head	n1	head	head	0
even	even	av	even	even	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
nape	nape	n1	nape	nape	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
necke	necke	n1	neck	neck	0
:	:	:	:	:	0
likewise	likewise	av	likewise	likewise	0
they	they	pns32	they	they	0
shave	shave	vvb	shave	shave	0
the	the	dt	the	the	0
forepart	forepart	n1	forepart	forepart	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
scalp	scalp	n1	scalp	scalp	0
downe	downe	p-acp	down	down	0
243	243	crd	243	243	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
to	to	pc-acp	to	to	0
their	their	po32	their	their	0
foreheads	foreheads	n2	foreheads	forehead	0
,	,	,	,	,	0
&	&	cc	&	and	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
foreheads	foreheads	n2	foreheads	forehead	0
they	they	pns32	they	they	0
leave	leave	vvb	leave	leave	0
a	a	dt	a	a	0
locke	locke	n1	lock	lock	0
of	of	pp-f	of	of	0
hayre	hayre	n1	hair	hair	0
reaching	reaching	vvg	reaching	reach	0
downe	downe	a-acp	down	down	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
eye	eye	n1	eye	eye	0
browes	browes	n2	brows	brow	0
:	:	:	:	:	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
two	two	crd	two	two	0
hindermost	hindermost	j	hindermost	hindermost	0
corners	corners	n2	corners	corner	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
,	,	,	,	,	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
two	two	crd	two	two	0
lockes	lockes	n2	locks	lock	0
also	also	av	also	also	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
twine	twine	vvb	twine	twine	0
and	and	cc	and	and	0
braid	braid	vvi	braid	braid	0
into	into	p-acp	into	into	0
knots	knots	n2	knots	knot	0
and	and	cc	and	and	0
so	so	av	so	so	0
bind	bind	vvb	bind	bound	0
and	and	cc	and	and	0
knit	knit	vvi	knit	knit	0
them	them	pno32	them	they	0
under	under	p-acp	under	under	0
each	each	d	each	each	0
eare	eare	n1	ear	ear	0
one	one	crd	one	one	0
.	.	.	.	.	1
Moreover	Moreover	np1	Moreover	Moreover	0
their	their	po32	their	their	0
womens	womens	ng2	women's	woman	0
garments	garments	n2	garments	garment	0
differ	differ	vvb	differ	differ	0
not	not	xx	not	not	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
mens	mens	ng2	men's	man	0
,	,	,	,	,	0
saving	saving	vvg	saving	save	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
somwhat	somwhat	av	somewhat	somewhat	0
longer	longer	av-jc	longer	long	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
morrowe	morrowe	n1	morrow	morrow	0
after	after	p-acp	after	after	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
women	women	n2	women	woman	0
is	is	vbz	is	be	0
maried	maried	vvn	married	marry	0
,	,	,	,	,	0
shee	shee	pns31	she	she	0
shaves	shaves	vvz	shaves	shave	0
her	her	po31	her	her	0
scalpe	scalpe	n1	scalp	scalp	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
middest	middest	n1	midst	midst	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
head	head	n1	head	head	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
her	her	po31	her	her	0
forehead	forehead	n1	forehead	forehead	0
,	,	,	,	,	0
&	&	cc	&	and	0
weares	weares	vvz	wears	wear	0
a	a	dt	a	a	0
wide	wide	j	wide	wide	0
garment	garment	n1	garment	garment	0
like	like	av-j	like	like	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
hood	hood	n1	hood	hood	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Nunne	Nunne	n1	Nun	nun	0
,	,	,	,	,	0
yea	yea	uh	yea	yea	0
larger	larger	jc	larger	large	0
and	and	cc	and	and	0
longer	longer	av-jc	longer	long	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
parts	parts	n2	parts	part	0
then	then	av	then	then	0
a	a	dt	a	a	0
Nuns	Nuns	ng1	Nuns	nun	0
hood	hood	n1	hood	hood	0
,	,	,	,	,	0
being	being	vbg	being	be	0
open	open	j	open	open	0
before	before	p-acp	before	before	0
and	and	cc	and	and	0
girt	girt	vvn	girded	gird	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
side	side	n1	side	side	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
herein	herein	av	herein	herein	0
doe	doe	vdb	do	do	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
differ	differ	vvb	differ	differ	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Turkes	Turkes	np2	Turkes	Turk	0
:	:	:	:	:	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
Turkes	Turkes	np2	Turkes	Turk	0
fasten	fasten	vvb	fasten	fasten	0
their	their	po32	their	their	0
garments	garments	n2	garments	garment	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
bodies	bodies	n2	bodies	body	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
left	left	j	left	left	0
side	side	n1	side	side	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
alwaies	alwaies	av	always	always	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
side	side	n1	side	side	0
.	.	.	.	.	1
They	They	pns32	They	they	0
have	have	vhb	have	have	0
also	also	av	also	also	0
an	an	dt	and	a	0
ornament	ornament	n1	ornament	ornament	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
Botta	Botta	np1	Botta	Botta	0
,	,	,	,	,	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
barke	barke	n1	bark	bark	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
tree	tree	n1	tree	tree	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
such	such	d	such	such	0
other	other	n-jn	other	other	0
lighter	lighter	jc	lighter	light	0
matter	matter	n1	matter	matter	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
can	can	vmb	can	can	0
find	find	vvi	find	find	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
thicknes	thicknes	n1	thickness	thickness	0
&	&	cc	&	and	0
roundnes	roundnes	n1	roundness	roundness	0
therof	therof	av	thereof	thereof	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
holden	holden	vvn	held	hold	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
both	both	d	both	both	0
hands	hands	n2	hands	hand	0
together	together	av	together	together	0
:	:	:	:	:	0
&	&	cc	&	and	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
square	square	j-jn	square	square	0
sharp	sharp	j	sharp	sharp	0
spire	spire	n1	spire	spire	0
rising	rising	vvg	rising	rise	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
top	top	n1	top	top	0
therof	therof	av	thereof	thereof	0
,	,	,	,	,	0
being	being	vbg	being	be	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
a	a	dt	a	a	0
cubite	cubite	n1	cubit	cubit	0
in	in	p-acp	in	in	0
length	length	n1	length	length	0
,	,	,	,	,	0
&	&	cc	&	and	0
fashioned	fashioned	vvd	fashioned	fashion	0
like	like	av-j	like	like	0
unto	unto	p-acp	unto	unto	0
a	a	dt	a	a	0
