Orders	Orders	n1	Order	order	0
scarse	scarse	av-j	scarce	scarce	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
About	About	p-acp	About	about	0
this	this	d	this	this	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
the	the	dt	the	the	0
winds	winds	n2	winds	wind	0
are	are	vbr	are	be	0
commonly	commonly	av-j	commonly	common	0
West	West	n1	West	west	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
,	,	,	,	,	0
keeping	keeping	vvg	keeping	keep	0
ordinarily	ordinarily	av-j	ordinarily	ordinary	0
within	within	p-acp	within	within	0
two	two	crd	two	two	0
points	points	n2	points	point	0
of	of	pp-f	of	of	0
West	West	n1	West	west	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
South	South	n1	South	south	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
the	the	dt	the	the	0
course	course	n1	course	course	0
thither	thither	av	thither	thither	0
falleth	falleth	vvz	falls	fall	0
out	out	av	out	out	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
long	long	j	long	long	0
and	and	cc	and	and	0
tedious	tedious	j	tedious	tedious	0
after	after	p-acp	after	after	0
June	June	np1	June	June	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
March	March	n1	March	march	0
,	,	,	,	,	0
Apriell	Apriell	np1	Apriell	Apriell	0
&	&	cc	&	and	0
May	May	vmb	May	may	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
performed	performed	vvn	performed	perform	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
in	in	p-acp	in	in	0
22	22	crd	22	22	0
dayes	dayes	n2	days	day	0
and	and	cc	and	and	0
lesse	lesse	av-dc	less	less	0
.	.	.	.	.	1
We	We	pns12	We	we	0
had	had	vhd	had	have	0
winde	winde	n1	wind	wind	0
alwayes	alwayes	av	always	always	0
so	so	av	so	so	0
scant	scant	av-j	scant	scant	0
from	from	p-acp	from	from	0
West	West	n1	West	west	0
northwest	northwest	av-an	northwest	northwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
West	West	n1	West	west	0
southwest	southwest	n1	southwest	southwest	0
againe	againe	av	again	again	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
traverse	traverse	n1	traverse	traverse	0
was	was	vbds	was	be	0
great	great	j	great	great	0
,	,	,	,	,	0
running	running	vvg	running	run	0
South	South	n1	South	south	0
unto	unto	p-acp	unto	unto	0
41	41	crd	41	41	0
degrees	degrees	n2	degrees	degree	0
almost	almost	av	almost	almost	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterward	afterward	av	afterwards	afterward	0
North	North	n1	North	north	0
into	into	p-acp	into	into	0
51	51	crd	51	51	0
degrees	degrees	n2	degrees	degree	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Also	Also	av	Also	also	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
incombred	incombred	vvn	encumbered	encumber	0
with	with	p-acp	with	with	0
much	much	d	much	much	0
fogge	fogge	n1	fog	fog	0
and	and	cc	and	and	0
mists	mists	n2	mists	mist	0
in	in	p-acp	in	in	0
maner	maner	n1	manner	manner	0
palpable	palpable	j	palpable	palpable	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
keepe	keepe	vvi	keep	keep	0
so	so	av	so	so	0
well	well	av	well	well	0
together	together	av	together	together	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
were	were	vbdr	were	be	0
dissevered	dissevered	vvn	dissevered	dissever	0
,	,	,	,	,	0
losing	losing	vvg	losing	lose	0
the	the	dt	the	the	0
companie	companie	n1	company	company	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Squirrill	Squirrill	n1	Squirrel	squirrel	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
20.	20.	crd	20.	20.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
met	met	vvd	met	meet	0
againe	againe	av	again	again	0
at	at	p-acp	at	at	0
severall	severall	j	several	several	0
places	places	n2	places	place	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
coast	coast	n1	coast	coast	0
the	the	dt	the	the	0
third	third	ord	third	three	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
shalbe	shalbe	vmb	shall	shall	0
declared	declared	vvn	declared	declare	0
in	in	p-acp	in	in	0
place	place	n1	place	place	0
convenient	convenient	j	convenient	convenient	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Saturday	Saturday	np1	Saturday	Saturday	0
the	the	dt	the	the	0
27	27	crd	27	27	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
descry	descry	vvi	descry	descry	0
not	not	xx	not	not	0
farre	farre	av-j	far	far	0
from	from	p-acp	from	from	0
us	us	pno12	us	we	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
mountaines	mountaines	n2	mountains	mountain	0
of	of	pp-f	of	of	0
yce	yce	n1	ice	ice	0
driven	driven	vvn	driven	drive	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
being	being	vbg	being	be	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
50	50	crd	50	50	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
caried	caried	vvn	carried	carry	0
Southward	Southward	av-j	Southward	southward	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
weather	weather	n1	weather	weather	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
:	:	:	:	:	0
whereby	whereby	c-crq	whereby	whereby	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
conjectured	conjectured	vvn	conjectured	conjecture	0
that	that	cst	that	that	0
some	some	d	some	some	0
current	current	n1	current	current	0
doth	doth	vdz	does	do	0
set	set	vvi	set	set	0
that	that	d	that	that	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
North	North	n1	North	north	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Before	Before	c-acp	Before	before	0
we	we	pns12	we	we	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
about	about	p-acp	about	about	0
50	50	crd	50	50	0
leagues	leagues	n2	leagues	league	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
side	side	n1	side	side	0
,	,	,	,	,	0
we	we	pns12	we	we	0
passe	passe	vvb	pass	pass	0
the	the	dt	the	the	0
banke	banke	n1	bank	bank	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
high	high	j	high	high	0
grounds	grounds	n2	grounds	ground	0
rising	rising	vvg	rising	rise	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
under	under	p-acp	under	under	0
water	water	n1	water	water	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
deepe	deepe	av-jn	deep	deep	0
enough	enough	d	enough	enough	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
being	being	vbg	being	be	0
commonly	commonly	av-j	commonly	common	0
not	not	xx	not	not	0
lesse	lesse	av-dc	less	less	0
then	then	cs	then	than	0
25	25	crd	25	25	0
and	and	cc	and	and	0
30	30	crd	30	30	0
fadome	fadome	n1	fathom	fathom	0
water	water	n1	water	water	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
:	:	:	:	:	0
the	the	dt	the	the	0
same	same	d	same	same	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
some	some	d	some	some	0
vaine	vaine	j	vain	vain	0
of	of	pp-f	of	of	0
mountaines	mountaines	n2	mountains	mountain	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
)	)	)	)	)	0
doe	doe	vdb	do	do	0
runne	runne	vvi	run	run	0
along	along	a-acp	along	along	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
,	,	,	,	,	0
beginning	beginning	vvg	beginning	begin	0
Northward	Northward	av-j	Northward	northward	0
about	about	p-acp	about	about	0
52	52	crd	52	52	0
or	or	cc	or	or	0
53	53	crd	53	53	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
&	&	cc	&	and	0
do	do	vdb	do	do	0
extend	extend	vvi	extend	extend	0
48	48	crd	48	48	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
South	South	n1	South	south	0
infinitly	infinitly	av-j	infinitely	infinite	0
.	.	.	.	.	1
The	The	dt	The	the	0
bredth	bredth	n1	breadth	breadth	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
banke	banke	n1	bank	bank	0
is	is	vbz	is	be	0
somewhere	somewhere	av	somewhere	somewhere	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
and	and	cc	and	and	0
somewhere	somewhere	av	somewhere	somewhere	0
lesse	lesse	av-dc	less	less	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
the	the	dt	the	the	0
same	same	d	same	same	0
about	about	p-acp	about	about	0
io	io	zz	io	io	0
leagues	leagues	n2	leagues	league	0
over	over	a-acp	over	over	0
,	,	,	,	,	0
having	having	vhg	having	have	0
sounded	sounded	vvn	sounded	sound	0
both	both	d	both	both	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
side	side	n1	side	side	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
toward	toward	p-acp	towards	towards	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
found	found	vvd	found	find	0
no	no	dx	no	no	0
ground	ground	n1	ground	ground	0
with	with	p-acp	with	with	0
almost	almost	av	almost	almost	0
200	200	crd	200	200	0
fadome	fadome	n1	fathom	fathom	0
of	of	pp-f	of	of	0
line	line	n1	line	line	0
,	,	,	,	,	0
both	both	av-d	both	both	0
before	before	p-acp	before	before	0
&	&	cc	&	and	0
after	after	a-acp	after	after	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
passed	passed	vvn	passed	pass	0
the	the	dt	the	the	0
banke	banke	n1	bank	bank	0
.	.	.	.	.	1
The	The	dt	The	the	0
Portugals	Portugals	np2	Portugals	Portugal	0
,	,	,	,	,	0
and	and	cc	and	and	0
French	French	np1	French	French	0
chiefly	chiefly	av-jn	chiefly	chief	0
,	,	,	,	,	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
notable	notable	j	notable	notable	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
fishfishing	fishfishing	n-vvg	fishfishing	fishfish	0
upon	upon	p-acp	upon	upon	0
this	this	d	this	this	0
banke	banke	n1	bank	bank	0
,	,	,	,	,	0
where	where	q-crq	where	where	0
are	are	vbr	are	be	0
sometimes	sometimes	av	sometime	sometime	0
an	an	dt	and	a	0
hundred	hundred	crd	hundred	hundred	0
or	or	cc	or	or	0
more	more	av-dc	more	more	0
sailes	sailes	n2	sails	sail	0
of	of	pp-f	of	of	0
ships	ships	n2	ships	ship	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
commonly	commonly	av-j	commonly	common	0
beginne	beginne	vvi	begin	begin	0
the	the	dt	the	the	0
'	'	'	'	'	0
fishing	fishing	vvg	fishing	fish	0
in	in	p-acp	in	in	0
Apriell	Apriell	np1	Apriell	Apriell	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
ended	ended	vvn	ended	end	0
by	by	p-acp	by	by	0
July	July	np1	July	July	0
.	.	.	.	.	1
That	That	cst	That	that	0
fish	fish	n1	fish	fish	0
is	is	vbz	is	be	0
large	large	j	large	large	0
,	,	,	,	,	0
alwayes	alwayes	av	always	always	0
wet	wet	j	wet	wet	0
,	,	,	,	,	0
having	having	vhg	having	have	0
no	no	dx	no	no	0
land	land	n1	land	land	0
neere	neere	av-j	near	near	0
to	to	pc-acp	to	to	0
drie	drie	vvi	dry	dry	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Corre	Corre	np1	Corre	Corre	0
fish	fish	n1	fish	fish	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
During	During	p-acp	During	during	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
fishing	fishing	vvg	fishing	fish	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
shall	shall	vmb	shall	shall	0
know	know	vvi	know	know	0
without	without	p-acp	without	without	0
sounding	sounding	vvg	sounding	sound	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
banke	banke	n1	bank	bank	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
incredible	incredible	j	incredible	incredible	0
multitude	multitude	n1	multitude	multitude	0
of	of	pp-f	of	of	0
sea	sea	n1	sea	sea	0
foule	foule	j	foul	foul	0
hovering	hovering	vvg	hovering	hover	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
Abundance	Abundance	n1	Abundance	abundance	0
of	of	pp-f	of	of	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
offalles	offalles	n2	offalles	offalle	0
&	&	cc	&	and	0
garbish	garbish	n1	garbish	garbage	0
of	of	pp-f	of	of	0
fish	fish	n1	fish	fish	0
throwen	throwen	vvn	thrown	throw	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
fishermen	fishermen	n2	fishermen	fisherman	0
,	,	,	,	,	0
and	and	cc	and	and	0
floting	floting	vvg	floating	float	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Upon	Upon	p-acp	Upon	upon	0
Tuesday	Tuesday	np1	Tuesday	Tuesday	0
the	the	dt	the	the	0
11	11	crd	11	11	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
,	,	,	,	,	0
we	we	pns12	we	we	0
forsooke	forsooke	vvd	forsook	forsake	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
So	So	av	So	so	0
againe	againe	av	again	again	0
Tuesday	Tuesday	np1	Tuesday	Tuesday	0
the	the	dt	the	the	0
30	30	crd	30	30	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
(	(	(	(	(	0
seven	seven	crd	seven	seven	0
J	J	pns11	J	i	0
Ay	Ay	av	Ay	ay	0
30.	30.	crd	30.	30.	0
weekes	weekes	n2	weeks	week	0
after	after	p-acp	after	after	0
)	)	)	)	)	0
we	we	pns12	we	we	0
got	got	vvd	god	get	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
land	land	n1	land	land	0
,	,	,	,	,	0
being	being	vbg	being	be	0
immediatly	immediatly	av-j	immediately	immediate	0
^d^^	^d^^	n1	d^^	d^^	0
embayed	embayed	vvn	embayed	embay	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
bay	bay	n1	bay	bay	0
,	,	,	,	,	0
or	or	cc	or	or	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
great	great	j	great	great	0
bay	bay	n1	bay	bay	0
:	:	:	:	:	0
the	the	dt	the	the	0
’	’	’	’	’	0
certainty	certainty	n1	certainty	certainty	0
whereof	whereof	c-crq	whereof	whereof	0
we	we	pns12	we	we	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
judge	judge	vvi	judge	judge	0
,	,	,	,	,	0
so	so	av	so	so	0
great	great	j	great	great	0
hase	hase	zz	hase	hase	0
and	and	cc	and	and	0
fogge	fogge	n1	fog	fog	0
did	did	vdd	did	do	0
hang	hang	vvi	hang	hang	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
neither	neither	d	neither	neither	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
discerne	discerne	vvi	discern	discern	0
the	the	dt	the	the	0
land	land	n1	land	land	0
well	well	av	well	well	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
take	take	vvb	take	take	0
the	the	dt	the	the	0
sunnes	sunnes	ng1	suns	sun	0
height	height	n1	height	height	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
best	best	js	best	best	0
computation	computation	n1	computation	computation	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
51	51	crd	51	51	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Forsaking	Forsaking	vvg	Forsaking	forsake	0
this	this	d	this	this	0
bay	bay	n1	bay	bay	0
and	and	cc	and	and	0
uncomfortable	uncomfortable	j	uncomfortable	uncomfortable	0
coast	coast	n1	coast	coast	0
(	(	(	(	(	0
nothing	nothing	pix	nothing	nothing	0
appearing	appearing	vvg	appearing	appear	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
but	but	p-acp	but	but	0
hideous	hideous	j	hideous	hideous	0
rockes	rockes	n2	rocks	rock	0
and	and	cc	and	and	0
mountaines	mountaines	n2	mountains	mountain	0
,	,	,	,	,	0
bare	bare	j	bore	bare	0
of	of	pp-f	of	of	0
trees	trees	n2	trees	tree	0
,	,	,	,	,	0
and	and	cc	and	and	0
voide	voide	j	void	void	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
greene	greene	j-jn	green	green	0
herbe	herbe	n1	herb	herb	0
)	)	)	)	)	0
we	we	pns12	we	we	0
followed	followed	vvd	followed	follow	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
South	South	n1	South	south	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
weather	weather	n1	weather	weather	0
faire	faire	j	fair	fair	0
and	and	cc	and	and	0
cleare	cleare	j	clear	clear	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
We	We	pns12	We	we	0
had	had	vhd	had	have	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Hand	Hand	n1	Hand	hand	0
named	named	vvd	nam	name	0
Penguin	Penguin	np1	Penguin	Penguin	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
foule	foule	j	foul	foul	0
Hand	Hand	n1	Hand	hand	0
and	and	cc	and	and	0
a	a	dt	a	a	0
there	there	zz	there	there	0
breeding	breeding	vvg	breeding	breed	0
in	in	p-acp	in	in	0
abundance	abundance	n1	abundance	abundance	0
,	,	,	,	,	0
almost	almost	av	almost	almost	0
incredible	incredible	j	incredible	incredible	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
n	n	n1	n	n	0
?	?	?	?	?	0
med	med	j-vvn	med	m	0
cannot	cannot	vmbx	cannot	can	0
flie	flie	vvi	fly	fly	0
,	,	,	,	,	0
their	their	po32	their	their	0
wings	wings	n2	wings	wing	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
their	their	po32	their	their	0
body	body	n1	body	body	0
,	,	,	,	,	0
being	being	vbg	being	be	0
en^tn-very	en^tn-very	j	en^tn-very	en^tn-very	0
large	large	j	large	large	0
(	(	(	(	(	0
not	not	xx	not	not	0
much	much	d	much	much	0
lesse	lesse	dc	less	less	0
then	then	cs	then	than	0
a	a	dt	a	a	0
goose	goose	n1	goose	goose	0
)	)	)	)	)	0
and	and	cc	and	and	0
exceeding	exceeding	vvg	exceeding	exceed	0
fat	fat	j	fat	fat	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
French	French	jp	French	french	0
men	men	n2	men	man	0
use	use	vvb	use	use	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
without	without	p-acp	without	without	0
difficulty	difficulty	n1	difficulty	difficulty	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
Hand	Hand	n1	Hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
barrell	barrell	n1	barrel	barrel	0
them	them	pno32	them	they	0
up	up	a-acp	up	up	0
with	with	p-acp	with	with	0
salt	salt	n1	salt	salt	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
for	for	p-acp	for	for	0
lingering	lingering	vvg	lingering	linger	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
made	made	vvn	made	make	0
us	us	pno12	us	we	0
there	there	pc-acp	there	there	0
the	the	dt	the	the	0
like	like	j	like	like	0
provision	provision	n1	provision	provision	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
viii	viii	crd	viii	viii	0
49	49	crd	49	49	0
D	D	wd	WORSER	d	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Trending	Trending	j	Trending	trending	0
this	this	d	this	this	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Hand	Hand	n1	Hand	hand	0
called	called	vvd	called	call	0
Bac-calaos	Bac-calaos	j	Baccalaos	baccalaos	0
,	,	,	,	,	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
past	past	vvn	passed	pass	0
two	two	crd	two	two	0
leagues	leagues	n2	leagues	league	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
fafish	fafish	n2	fafish	fafish	0
th6	th6	n1	th6	th6	0
South	South	n1	South	south	0
therof	therof	av	thereof	thereof	0
lieth	lieth	vvz	lies	lie	0
Cape	Cape	n1	Cape	cape	0
S.	S.	np1	S.	S.	0
Francis	Francis	np1	Francis	Francis	0
,	,	,	,	,	0
5.	5.	crd	5.	5.	0
leagues	leagues	n2	leagues	league	0
distant	distant	j	distant	distant	0
taken	taken	vvn	taken	take	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Baccalaos	Baccalaos	n1	Baccalaos	baccalaos	0
,	,	,	,	,	0
between	between	p-acp	between	between	0
which	which	r-crq	which	which	0
goeth	goeth	vvz	goes	go	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
great	great	j	great	great	0
bay	bay	n1	bay	bay	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
vulgar	vulgar	j	vulgar	vulgar	0
sort	sort	n1	sort	sort	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
bay	bay	n1	bay	bay	0
of	of	pp-f	of	of	0
Conception	Conception	n1	Conception	conception	0
.	.	.	.	.	1
Here	Here	av	Here	here	0
we	we	pns12	we	we	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
againe	againe	av	again	again	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
lost	lost	vvn	lost	lose	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fogge	fogge	n1	fog	fog	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
her	her	po31	her	her	0
men	men	n2	men	man	0
altered	altered	vvn	altered	alter	0
into	into	p-acp	into	into	0
other	other	j-jn	other	other	0
apparell	apparell	n1	apparel	apparel	0
:	:	:	:	:	0
wherof	wherof	c-crq	whereof	whereof	0
it	it	pn31	it	it	0
seemed	seemed	vvd	seemed	seem	0
their	their	po32	their	their	0
store	store	n1	store	store	0
was	was	vbds	was	be	0
so	so	av	so	so	0
amended	amended	vvn	amended	amend	0
,	,	,	,	,	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
joy	joy	n1	joy	joy	0
and	and	cc	and	and	0
congratulation	congratulation	n1	congratulation	congratulation	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
meeting	meeting	n1	meeting	meeting	0
,	,	,	,	,	0
they	they	pns32	they	they	0
spared	spared	vvd	spared	spare	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
up	up	a-acp	up	up	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
aire	aire	n1	air	air	0
and	and	cc	and	and	0
overboord	overboord	av	overboard	overboard	0
,	,	,	,	,	0
their	their	po32	their	their	0
caps	caps	n2	caps	cap	0
&	&	cc	&	and	0
hats	hats	n2	hats	hat	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
plenty	plenty	n1	plenty	plenty	0
.	.	.	.	.	1
The	The	dt	The	the	0
Captaine	Captaine	n1	Captain	captain	0
albeit	albeit	cs	albeit	albeit	0
himselfe	himselfe	px31	himself	himself	0
was	was	vbds	was	be	0
very	very	av	very	very	0
honest	honest	j	honest	honest	0
and	and	cc	and	and	0
religious	religious	j	religious	religious	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
was	was	vbds	was	be	0
he	he	pns31	he	he	0
not	not	xx	not	not	0
appointed	appointed	vvn	appointed	appoint	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
humor	humor	n1	humour	humour	0
and	and	cc	and	and	0
desert	desert	n1	desert	desert	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
