between	between	p-acp	between	between	0
is	is	vbz	is	be	0
captaine	captaine	n1	captain	captain	0
a	a	dt	a	a	0
Chinian	Chinian	njp	Chinian	chinian	0
,	,	,	,	,	0
a	a	dt	a	a	0
man	man	n1	man	man	0
very	very	av	very	very	0
deformed	deformed	vvn	deformed	deform	0
,	,	,	,	,	0
having	having	vhg	having	have	0
under	under	p-acp	under	under	0
him	him	pno31	him	he	0
many	many	d	many	many	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
:	:	:	:	:	0
he	he	pns31	he	he	0
maketh	maketh	vvz	makes	make	0
warre	warre	n1	war	war	0
both	both	av-d	both	both	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Tartarians	Tartarians	njp2	Tartarians	tartarian	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Mogores	Mogores	np1	Mogores	Mogores	0
;	;	;	;	;	0
lying	lying	vvg	lying	lie	0
betweene	betweene	p-acp	between	between	0
them	them	pno32	them	they	0
:	:	:	:	:	0
and	and	cc	and	and	0
lieth	lieth	vvz	lies	lie	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
circuit	circuit	n1	circuit	circuit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wall	wall	n1	wall	wall	0
.	.	.	.	.	1
3	3	crd	3	3	0
Certeine	Certeine	j	Certain	certain	0
hils	hils	n2	hills	hill	0
,	,	,	,	,	0
beyond	beyond	p-acp	beyond	beyond	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Tartarians	Tartarians	njp2	Tartarians	tartarian	0
do	do	vdb	do	do	0
inhabit	inhabit	vvi	inhabit	inhabit	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
heretofore	heretofore	av	heretofore	heretofore	0
were	were	vbdr	were	be	0
great	great	j	great	great	0
friends	friends	n2	friends	friend	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Chinians	Chinians	njp2	Chinians	chinians	0
,	,	,	,	,	0
and	and	cc	and	and	0
now	now	av	now	now	0
mainteine	mainteine	vvb	maintain	maintain	0
continuall	continuall	j	continual	continual	0
warres	warres	n2	wars	war	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
,	,	,	,	,	0
so	so	av	so	so	0
great	great	j	great	great	0
,	,	,	,	,	0
that	that	cst	that	that	0
sometimes	sometimes	av	sometime	sometime	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
slaine	slaine	vvn	slain	slay	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
battell	battell	n1	battle	battle	0
100000	100000	crd	100000	100000	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
upon	upon	p-acp	upon	upon	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
:	:	:	:	:	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
warres	warres	n2	wars	war	0
all	all	d	all	all	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
armour	armour	n1	armour	armour	0
.	.	.	.	.	1
4	4	crd	4	4	0
The	The	dt	The	the	0
province	province	n1	province	province	0
of	of	pp-f	of	of	0
Cansas	Cansas	np1	Cansas	Cansas	0
hath	hath	vhz	hath	have	0
4	4	crd	4	4	0
great	great	j	great	great	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
20	20	crd	20	20	0
small	small	j	small	small	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
and	and	cc	and	and	0
77	77	crd	77	77	0
townes	townes	n2	towns	town	0
&	&	cc	&	and	0
castles	castles	n2	castles	castle	0
:	:	:	:	:	0
it	it	pn31	it	it	0
conteineth	conteineth	vvz	containeth	contain	0
in	in	p-acp	in	in	0
length	length	n1	length	length	0
55	55	crd	55	55	0
leagues	leagues	n2	leagues	league	0
,	,	,	,	,	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
362000	362000	crd	362000	362000	0
houses	houses	n2	houses	house	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
men	men	n2	men	man	0
that	that	cst	that	that	0
pay	pay	vvb	pay	pay	0
tribute	tribute	n1	tribute	tribute	0
,	,	,	,	,	0
and	and	cc	and	and	0
13900	13900	crd	13900	13900	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
:	:	:	:	:	0
and	and	cc	and	and	0
378	378	crd	378	378	1
