Commission	Commission	n1	Commission	commission	0
Jackman	Jackman	np1	Jackman	Jackman	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
William	William	np1	William	William	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Viceadmirall	Viceadmirall	n1	Viceadmiral	vice-admiral	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
good	good	j	good	good	0
orders	orders	n2	order	order	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
good	good	j	good	good	0
and	and	cc	and	and	0
orderly	orderly	av-j	orderly	orderly	0
keeping	keeping	vvg	keeping	keep	0
of	of	pp-f	of	of	0
company	company	n1	company	company	0
together	together	av	together	together	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
wish	wish	vvb	wish	wish	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
such	such	d	such	such	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
never	never	av-x	never	never	0
lose	lose	vvi	loose	lose	0
sight	sight	n1	sighed	sight	0
the	the	dt	the	the	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
by	by	p-acp	by	by	0
both	both	d	both	both	0
your	your	po22	your	your	0
consents	consents	n2	consents	consent	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
about	about	p-acp	about	about	0
an	an	dt	and	a	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
or	or	cc	or	or	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
river	river	n1	river	river	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
certainly	certainly	av-j	certainly	certain	0
appoint	appoint	vvi	appoint	appoint	0
to	to	pc-acp	to	to	0
meete	meete	vvi	meet	meet	0
together	together	av	together	together	0
againe	againe	av	again	again	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
referre	referre	vvb	refer	refer	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
discretions	discretions	n2	discretions	discretion	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
now	now	av	now	now	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
good	good	j	good	good	0
direction	direction	n1	direction	direction	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
next	next	ord	next	next	0
good	good	j	good	good	0
winde	winde	n1	wind	wind	0
and	and	cc	and	and	0
weather	weather	n1	weather	weather	0
,	,	,	,	,	0
253	253	crd	253	253	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
that	that	cst	that	that	0
God	God	np1	God	God	0
shall	shall	vmb	shall	shall	0
send	send	vvi	send	send	0
thereunto	thereunto	av	thereunto	thereunto	0
meete	meete	j	meet	meet	0
and	and	cc	and	and	0
convenient	convenient	j	convenient	convenient	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
22.	22.	crd	22.	22.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
present	present	j	present	present	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
saile	saile	vvb	sail	sail	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Thames	Thames	np1	Thames	Thames	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Finmarke	Finmarke	np1	Finmarke	Finmarke	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
North	North	n1	North	north	0
Cape	Cape	n1	Cape	cape	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
direct	direct	vvi	direct	direct	0
your	your	po22	your	your	0
course	course	n1	course	course	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
Willoughbies	Willoughbies	npg1	Willoughbies	willoughbies	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
it	it	pn31	it	it	0
passe	passe	vvi	pass	pass	0
alongst	alongst	p-acp	alongst	alongst	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Nova	Nova	fw-la	Nova	nova	0
Zemla	Zemla	np1	Zemla	Zemla	0
,	,	,	,	,	0
keeping	keeping	vvg	keeping	keep	0
the	the	dt	the	the	0
same	same	d	same	same	0
landes	landes	n2	lands	land	0
alwayes	alwayes	av	always	always	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
sight	sight	n1	sighed	sight	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
larboordsides	larboordsides	n2	larboordsides	larboordside	0
(	(	(	(	(	0
if	if	cs	if	if	0
conveniently	conveniently	av-j	conveniently	convenient	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
discover	discover	vvi	discover	discover	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
the	the	dt	the	the	0
same	same	d	same	same	0
Willoughbies	Willoughbies	n2	Willoughbies	willoughby	0
land	land	n1	land	land	0
be	be	vbb	be	be	0
continent	continent	n1	continent	continent	0
and	and	cc	and	and	0
firme	firme	j	firm	firm	0
land	land	n1	land	land	0
with	with	p-acp	with	with	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
or	or	cc	or	or	0
not	not	xx	not	not	0
:	:	:	:	:	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
entangle	entangle	vvi	entangle	entangle	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
Bay	Bay	n1	Bay	bay	0
,	,	,	,	,	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
hinder	hinder	vvi	hinder	hinder	0
your	your	po22	your	your	0
speedy	speedy	j	speedy	speedy	0
proceeding	proceeding	n-vvg	proceeding	proceed	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
,	,	,	,	,	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
get	get	vvi	get	get	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Samoeda	Samoeda	np1	Samoeda	Samoeda	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
over	over	a-acp	over	over	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
South	South	n1	South	south	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
with	with	p-acp	with	with	0
Gods	Gods	ng1	Gods	god	0
permission	permission	n1	permission	permission	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
alongst	alongst	p-acp	alongst	alongst	0
the	the	dt	the	the	0
same	same	d	same	same	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
keeping	keeping	vvg	keeping	keep	0
it	it	pn31	it	it	0
alwayes	alwayes	av	always	always	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
sight	sight	n1	sighed	sight	0
(	(	(	(	(	0
if	if	cs	if	if	0
conveniently	conveniently	av-j	conveniently	convenient	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
)	)	)	)	)	0
untill	untill	c-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Ob	Ob	fw-la	Ob	ob	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
unto	unto	p-acp	unto	unto	0
it	it	pn31	it	it	0
,	,	,	,	,	0
passe	passe	vvb	pass	pass	0
over	over	a-acp	over	over	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
rivers	rivers	n2	rivers	river	0
mouth	mouth	n1	mouth	mouth	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
border	border	n1	border	border	0
of	of	pp-f	of	of	0
land	land	n1	land	land	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Eastside	Eastside	np1	Eastside	Eastside	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
(	(	(	(	(	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
stay	stay	n1	stay	stay	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
made	made	vvn	made	make	0
for	for	p-acp	for	for	0
searching	searching	vvg	searching	search	0
inwardly	inwardly	av-j	inwardly	inward	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
river	river	n1	river	river	0
)	)	)	)	)	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
Easterly	Easterly	j	Easterly	easterly	0
land	land	n1	land	land	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
Gods	Gods	ng1	Gods	god	0
name	name	n1	name	name	0
proceed	proceed	vvb	proceed	proceed	0
alongst	alongst	p-acp	alongst	alongst	0
by	by	p-acp	by	by	0
it	it	pn31	it	it	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
,	,	,	,	,	0
keeping	keeping	vvg	keeping	keep	0
the	the	dt	the	the	0
same	same	d	same	same	0
alwayes	alwayes	av	always	always	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
starboordside	starboordside	n1	starboordside	starboordside	0
in	in	p-acp	in	in	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
,	,	,	,	,	0
and	and	cc	and	and	0
follow	follow	vvi	follow	follow	0
the	the	dt	the	the	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
whether	whether	cs	whither	whether	0
it	it	pn31	it	it	0
incline	incline	vvb	incline	incline	0
Southerly	Southerly	j	Southerly	southerly	0
or	or	cc	or	or	0
Northerly	Northerly	j	Northerly	northerly	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
at	at	p-acp	at	at	0
times	times	n2	times	time	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
both	both	av-d	both	both	0
)	)	)	)	)	0
untill	untill	p-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
dominion	dominion	n1	dominion	dominion	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
mightie	mightie	j	mighty	mighty	0
Emperour	Emperour	n1	Emperor	emperor	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
if	if	cs	if	if	0
God	God	np1	God	God	0
prosper	prosper	vvb	prosper	prosper	0
your	your	po22	your	your	0
voyage	voyage	n1	voyage	voyage	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
good	good	j	good	good	0
successe	successe	n1	success	success	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
attaine	attaine	vvi	attain	attain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
seeke	seeke	vvi	seek	seek	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
meanes	meanes	n2	means	mean	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
to	to	p-acp	to	to	0
arrive	arrive	vvi	arrive	arrive	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cities	Cities	ng1	Cities	city	0
Cambalu	Cambalu	n1	Cambalu	cambalu	0
,	,	,	,	,	0
and	and	cc	and	and	0
Quinsay	Quinsay	vvi	Quinsay	quinsay	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
happen	happen	vvi	happen	happen	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
conveniently	conveniently	av-j	conveniently	convenient	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
places	places	n2	places	place	0
,	,	,	,	,	0
or	or	cc	or	or	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
driven	driven	vvn	driven	drive	0
to	to	pc-acp	to	to	0
remaine	remaine	vvi	remain	remain	0
&	&	cc	&	and	0
winter	winter	n1	winter	winter	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
port	port	n1	port	port	0
or	or	cc	or	or	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
dominion	dominion	n1	dominion	dominion	0
,	,	,	,	,	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
seeke	seeke	vvi	seek	seek	0
by	by	p-acp	by	by	0
all	all	d	all	all	0
meanes	meanes	n2	means	mean	0
possible	possible	j	possible	possible	0
to	to	pc-acp	to	to	0
winne	winne	vvi	win	win	0
favour	favour	n1	favour	favour	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
254	254	crd	254	254	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
COMMISSION	COMMISSION	n1	COMMISSION	commission	0
TO	TO	p-acp	TO	to	0
PET	PET	n1	PET	pet	0
AND	AND	cc	AND	and	0
JACKMAN	JACKMAN	np1	JACKMAN	Jackman	0
a.d.	a.d.	n1	a.d.	a.d.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1580.	1580.	crd	1580.	1580.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
liking	liking	n-vvg	liking	like	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
gifts	gifts	n2	gifts	gift	0
and	and	cc	and	and	0
friendly	friendly	j	friendly	friendly	0
demeanes	demeanes	n2	demeans	demean	0
towards	towards	p-acp	towards	towards	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
offer	offer	vvi	offer	offer	0
violence	violence	n1	violence	violence	0
,	,	,	,	,	0
or	or	cc	or	or	0
do	do	vdb	do	do	0
wrong	wrong	vvi	wrong	wrong	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
people	people	n1	people	people	0
or	or	cc	or	or	0
nation	nation	n1	nation	nation	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
therein	therein	av	therein	therein	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
innocent	innocent	j-jn	innocent	innocent	0
as	as	p-acp	as	as	0
doves	doves	n2	doves	dove	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
wilie	wilie	j	wily	wily	0
as	as	c-acp	as	as	0
serpents	serpents	n2	serpents	serpent	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
avoid	avoid	vvi	avoid	avoid	0
mis-chiefe	mis-chiefe	j	mischief	mischief	0
,	,	,	,	,	0
and	and	cc	and	and	0
defend	defend	vvb	defend	defend	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
hurt	hurt	n1	hurt	hurt	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
gotten	gotten	vvn	got	get	0
friendship	friendship	n1	friendship	friendship	0
through	through	p-acp	through	through	0
your	your	po22	your	your	0
discreete	discreete	j	discreet	discreet	0
ordering	ordering	n-vvg	ordering	order	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
,	,	,	,	,	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
learne	learne	vvi	learn	learn	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
shewe	shewe	vvi	show	show	0
them	them	pno32	them	they	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	n2	Majesties	majesty	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
she	she	pns31	she	she	0
sendeth	sendeth	vvz	sends	send	0
The	The	dt	The	the	0
Queenes	Queenes	n2	Queens	queen	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
one	one	crd	one	one	0
,	,	,	,	,	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
substance	substance	n1	substance	substance	0
lettersand	lettersand	n1	lettersand	lettersand	0
effect	effect	n1	effect	effect	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
ech	ech	d	each	each	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
particularly	particularly	av-jn	particularly	particular	0
)	)	)	)	)	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
Latine	Latine	jp	Latin	latin	0
,	,	,	,	,	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
hath	hath	vhz	hath	have	0
subscribed	subscribed	vvn	subscribed	subscribe	0
,	,	,	,	,	0
and	and	cc	and	and	0
caused	caused	vvd	caused	cause	0
her	her	po31	her	her	0
signet	signet	n1	signet	signet	0
seale	seale	vvi	seal	seal	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
set	set	vvn	set	set	0
,	,	,	,	,	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
letters	letters	n2	letters	letter	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
also	also	av	also	also	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
understanding	understanding	n1	understanding	understanding	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
letters	letters	n2	letters	letter	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
procure	procure	vvi	procure	procure	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
same	same	d	same	same	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
or	or	cc	or	or	0
Governour	Governour	n1	Governor	governor	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
present	present	n1	present	present	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
,	,	,	,	,	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
meete	meete	j	meet	meet	0
and	and	cc	and	and	0
convenient	convenient	j	convenient	convenient	0
,	,	,	,	,	0
using	using	vvg	using	use	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
points	points	n2	points	point	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
procure	procure	vvi	procure	procure	0
againe	againe	av	again	again	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
same	same	d	same	same	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
his	his	po31	his	his	0
letters	letters	n2	letters	letter	0
accordingly	accordingly	av-vvg	accordingly	accord	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
if	if	cs	if	if	0
God	God	np1	God	God	0
so	so	av	so	so	0
prosper	prosper	vvb	prosper	prosper	0
your	your	po22	your	your	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
this	this	d	this	this	0
Summer	Summer	n1	Summer	summer	0
passe	passe	vvi	pass	pass	0
the	the	dt	the	the	0
Streights	Streights	n2	Straights	strait	0
,	,	,	,	,	0
and	and	cc	and	and	0
compasse	compasse	vvi	compass	compass	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
Northermost	Northermost	j	Northermost	northermost	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
or	or	cc	or	or	0
dominion	dominion	n1	dominion	dominion	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
and	and	cc	and	and	0
wintering	wintering	vvg	wintering	winter	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
may	may	vmb	may	may	0
obtaine	obtaine	vvi	obtain	obtain	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
his	his	po31	his	his	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
priviledge	priviledge	n1	privilege	privilege	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
next	next	ord	next	next	0
yeeres	yeeres	n2	years	year	0
spring	spring	vvi	spring	spring	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
then	then	av	then	then	0
after	after	p-acp	after	after	0
your	your	po22	your	your	0
first	first	ord	first	first	0
setting	setting	vvg	setting	set	0
foorth	foorth	av	forth	forth	0
,	,	,	,	,	0
search	search	n1	search	search	0
and	and	cc	and	and	0
discover	discover	vvi	discover	discover	0
somewhat	somewhat	av	somewhat	somewhat	0
further	further	av-jc	further	further	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
discovered	discovered	vvn	discovered	discover	0
before	before	p-acp	before	before	0
your	your	po22	your	your	0
wintering	wintering	vvg	wintering	winter	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
convenient	convenient	j	convenient	convenient	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
regard	regard	n1	regard	regard	0
had	had	vhd	had	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
alwayes	alwayes	av	always	always	0
provided	provided	vvn	provided	provide	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
returne	returne	vvi	return	return	0
home	home	av-an	home	home	0
hither	hither	av	hither	hither	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
us	us	pno12	us	we	0
advise	advise	vvi	advice	advise	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
the	the	dt	the	the	0
same	same	d	same	same	0
Summer	Summer	n1	Summer	summer	0
,	,	,	,	,	0
or	or	cc	or	or	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
sharpenes	sharpenes	n1	sharpness	sharpness	0
or	or	cc	or	or	0
extremitie	extremitie	n1	extremity	extremity	0
of	of	pp-f	of	of	0
winter	winter	n1	winter	winter	0
overtake	overtake	vvb	overtake	overtake	0
you	you	pn22	you	you	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
happen	happen	vvb	happen	happen	0
